                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.84499,                0.72786,                  1.153,                0.94369,                0.88973,                0.94571,                0.83586,                0.58684,                0.40088,                0.97761,               0.006733,               0.006733,               0.006733
                     69,                  0.836,                0.72844,                 1.1471,                0.92594,                0.90607,                0.94596,                0.83635,                0.58555,                0.40063,                0.97684,              0.0066835,              0.0066835,              0.0066835
                     70,                0.83311,                0.72977,                 1.1496,                0.92828,                0.90538,                0.94599,                0.83657,                0.58504,                0.40044,                0.97636,               0.006634,               0.006634,               0.006634
                     71,                0.83255,                0.72187,                  1.146,                0.92881,                0.90525,                0.94604,                0.83693,                0.58404,                0.39975,                0.97564,              0.0065845,              0.0065845,              0.0065845
                     72,                0.83128,                0.72908,                 1.1473,                0.92702,                0.90815,                0.94667,                0.83739,                0.58262,                0.39923,                0.97465,               0.006535,               0.006535,               0.006535
                     73,                0.82814,                0.71608,                 1.1418,                0.92766,                 0.9069,                0.94647,                0.83786,                0.58192,                0.39864,                0.97419,              0.0064855,              0.0064855,              0.0064855
                     74,                0.82975,                0.72191,                 1.1479,                0.92871,                0.90611,                0.94652,                0.83826,                0.58068,                0.39745,                0.97341,               0.006436,               0.006436,               0.006436
                     75,                0.82824,                0.71104,                 1.1422,                0.92811,                0.90551,                0.94628,                0.83868,                0.57993,                0.39643,                0.97281,              0.0063865,              0.0063865,              0.0063865
                     76,                0.83413,                0.72009,                   1.15,                0.92814,                0.90594,                0.94647,                0.83946,                0.57948,                0.39565,                0.97238,               0.006337,               0.006337,               0.006337
                     77,                0.82572,                0.71764,                 1.1408,                0.92793,                0.90564,                0.94634,                0.83958,                0.57882,                 0.3951,                0.97184,              0.0062875,              0.0062875,              0.0062875
                     78,                0.82065,                0.71181,                 1.1445,                0.92815,                0.90614,                0.94658,                0.83962,                0.57795,                0.39451,                 0.9714,               0.006238,               0.006238,               0.006238
                     79,                0.82684,                 0.7094,                 1.1412,                0.92779,                0.90626,                0.94657,                0.83979,                0.57792,                0.39396,                0.97126,              0.0061885,              0.0061885,              0.0061885
                     80,                0.82915,                0.71249,                 1.1395,                0.93833,                0.89556,                0.94638,                0.83967,                0.57761,                0.39351,                0.97107,               0.006139,               0.006139,               0.006139
                     81,                0.82414,                0.71377,                 1.1381,                0.93792,                0.89581,                 0.9463,                0.84001,                0.57714,                0.39258,                0.97063,              0.0060895,              0.0060895,              0.0060895
                     82,                0.82434,                0.71083,                 1.1376,                 0.9379,                0.89541,                0.94619,                0.84011,                0.57681,                0.39229,                 0.9705,                0.00604,                0.00604,                0.00604
                     83,                0.80924,                0.70117,                 1.1326,                0.93852,                0.89576,                0.94623,                0.84053,                0.57642,                0.39186,                0.97018,              0.0059905,              0.0059905,              0.0059905
                     84,                0.81673,                0.70721,                 1.1376,                0.93902,                0.89692,                 0.9469,                0.84097,                0.57589,                0.39124,                0.96964,               0.005941,               0.005941,               0.005941
                     85,                0.81915,                0.70135,                 1.1381,                0.93893,                0.89662,                0.94673,                0.84133,                0.57474,                0.39115,                0.96913,              0.0058915,              0.0058915,              0.0058915
                     86,                0.81752,                0.70734,                 1.1348,                0.93893,                0.89664,                0.94687,                0.84199,                0.57425,                0.39042,                0.96871,               0.005842,               0.005842,               0.005842
                     87,                0.80198,                0.68966,                 1.1293,                 0.9388,                0.89673,                0.94698,                0.84209,                0.57436,                0.38977,                0.96845,              0.0057925,              0.0057925,              0.0057925
                     88,                0.81027,                0.70196,                 1.1331,                0.93902,                0.89673,                0.94713,                0.84212,                 0.5743,                 0.3894,                0.96835,               0.005743,               0.005743,               0.005743
                     89,                0.81313,                0.70933,                 1.1331,                0.94002,                0.89731,                0.94744,                0.84232,                0.57374,                 0.3892,                0.96783,              0.0056935,              0.0056935,              0.0056935
                     90,                0.80641,                0.69851,                  1.129,                0.94009,                0.89701,                0.94744,                0.84284,                0.57307,                0.38863,                0.96731,               0.005644,               0.005644,               0.005644
                     91,                0.80542,                0.70122,                 1.1301,                0.94091,                0.89778,                0.94784,                0.84338,                0.57279,                0.38827,                 0.9669,              0.0055945,              0.0055945,              0.0055945
                     92,                 0.8021,                0.68768,                 1.1247,                0.93567,                 0.9019,                0.94784,                 0.8439,                0.57238,                0.38786,                0.96644,               0.005545,               0.005545,               0.005545
                     93,                0.80618,                0.69349,                 1.1237,                0.94379,                0.89468,                0.94718,                0.84397,                0.57166,                0.38757,                  0.966,              0.0054955,              0.0054955,              0.0054955
                     94,                 0.8033,                0.68962,                 1.1266,                0.94092,                0.89711,                 0.9474,                0.84382,                0.57113,                0.38721,                0.96567,               0.005446,               0.005446,               0.005446
                     95,                0.80199,                0.68501,                 1.1228,                0.94107,                0.89727,                0.94745,                0.84409,                0.57065,                0.38664,                0.96521,              0.0053965,              0.0053965,              0.0053965
                     96,                0.79354,                0.68366,                 1.1196,                0.94183,                 0.8975,                 0.9478,                 0.8443,                0.56983,                0.38656,                0.96477,               0.005347,               0.005347,               0.005347
                     97,                0.79196,                0.67973,                 1.1232,                0.94059,                0.89885,                0.94768,                0.84459,                0.56911,                0.38613,                0.96432,              0.0052975,              0.0052975,              0.0052975
                     98,                0.79747,                 0.6871,                 1.1221,                 0.9413,                0.89793,                0.94761,                0.84494,                0.56856,                0.38531,                0.96394,               0.005248,               0.005248,               0.005248
                     99,                0.79325,                0.68717,                 1.1218,                0.94157,                0.89808,                0.94796,                0.84503,                0.56798,                0.38483,                0.96345,              0.0051985,              0.0051985,              0.0051985
                    100,                0.79995,                 0.6864,                 1.1232,                0.94257,                0.89731,                 0.9479,                0.84536,                0.56759,                0.38425,                 0.9631,               0.005149,               0.005149,               0.005149
                    101,                0.79047,                0.68049,                 1.1167,                0.94258,                0.89692,                0.94792,                0.84543,                0.56693,                0.38359,                0.96268,              0.0050995,              0.0050995,              0.0050995
                    102,                0.78747,                0.67287,                 1.1164,                0.94247,                0.89731,                0.94835,                0.84607,                0.56643,                0.38327,                0.96224,                0.00505,                0.00505,                0.00505
                    103,                0.78571,                0.67091,                 1.1159,                0.94334,                0.89731,                 0.9484,                0.84609,                0.56575,                0.38282,                0.96193,              0.0050005,              0.0050005,              0.0050005
                    104,                0.78792,                0.67452,                 1.1178,                0.94357,                0.89731,                0.94844,                0.84637,                0.56541,                0.38229,                0.96154,               0.004951,               0.004951,               0.004951
                    105,                0.78809,                0.67086,                 1.1165,                0.94912,                0.89343,                0.94867,                0.84674,                0.56469,                 0.3819,                0.96101,              0.0049015,              0.0049015,              0.0049015
